event_id,event_name,state,district,disaster_type,event_start,event_end,impact_date,latitude,longitude,aoi_path,source_name,source_url,source_type,event_verified,notes
TN_CHENNAI_FLOOD_2015,Chennai Floods 2015,Tamil Nadu,Chennai,floods,2015-11-08,2015-12-08,2015-12-01,13.0827,80.2707,data/tamil_nadu/aoi/TN_CHENNAI_FLOOD_2015.geojson,IMD meteorological report,https://mausam.imd.gov.in/,report,true,Severe flooding caused by extreme monsoon rainfall and reservoir discharges.
TN_VARDAH_2016,Cyclone Vardah 2016,Tamil Nadu,Chennai,cyclones,2016-12-08,2016-12-14,2016-12-12,13.0827,80.2707,data/tamil_nadu/aoi/TN_VARDAH_2016.geojson,IMD Vardah Report,https://mausam.imd.gov.in/,report,true, landfall near Chennai as a Very Severe Cyclonic Storm with heavy wind damage.
TN_GAJA_2018,Cyclone Gaja 2018,Tamil Nadu,Nagapattinam,cyclones,2018-11-10,2018-11-19,2018-11-16,10.7656,79.8427,data/tamil_nadu/aoi/TN_GAJA_2018.geojson,IMD Gaja Report,https://mausam.imd.gov.in/,report,true,Severe cyclonic storm crossing coast between Pamban and Cuddalore near Vedaranyam.
TN_NIVAR_2020,Cyclone Nivar 2020,Tamil Nadu,Cuddalore,cyclones,2020-11-23,2020-11-27,2020-11-26,11.7480,79.7714,data/tamil_nadu/aoi/TN_NIVAR_2020.geojson,IMD Nivar Report,https://mausam.imd.gov.in/,report,true,Very Severe Cyclonic Storm making landfall near Marakkanam/Cuddalore coast.
TN_MICHAUNG_2023,Cyclone Michaung 2023,Tamil Nadu,Chennai,extreme rainfall,2023-12-02,2023-12-06,2023-12-04,13.0827,80.2707,data/tamil_nadu/aoi/TN_MICHAUNG_2023.geojson,IMD Michaung Report,https://mausam.imd.gov.in/,report,true,Severe cyclonic storm approach causing extreme deluge and flood inundation in Chennai.
