event_id,event_name,district,disaster_type,sensor,pre_or_post,product_id,acquisition_date,source,source_url,file_path,file_size_mb,sha256,crs,resolution,width,height,bounds,cloud_percentage,valid_pixel_percentage,aoi_coverage,quality_tier,qc_status
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-2,PRE,COPERNICUS/S2_SR_HARMONIZED/20201121T050121_20201121T051432_T44PLT,20201121,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,8.65,44d04833325ae2e906535b1ea1f9d8bd62525b2a08690621f5cd593079d5992b,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",10.25,56.21,1.0,S2_TIER_2 = GOOD,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-2,POST,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,20201211,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,8.64,4e9efab9ee37571a902376b3f1d3210bebf365652b04942b275ce2f70b3edca2,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",6.47,56.21,1.0,S2_TIER_2 = GOOD,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201121T003206_20201121T003231_035339_0420EC_F580,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_PRE.tif,20.91,a03dce973dbda654f03b30b41d68550c33596bcac247f3f2d11bec40dfc30fca,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.55,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20201203T003206_20201203T003231_035514_0426F6_0C55,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel1/TN_NIVAR_2020_S1_POST.tif,20.91,08afeb39b5720fc1161679ef20daaabbda005969b34993badb5ac6b5260cbf59,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",N/A,99.54,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-2,PRE,COPERNICUS/S2_SR_HARMONIZED/20201121T050121_20201121T051432_T44PLT,20201121,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_PRE.tif,20.91,30f56bde162a44b41aa37b24be31efb3e37b31cdf29c3f625da2c93b422c2a57,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",10.25,56.21,1.0,S2_TIER_2 = GOOD,PASS
TN_NIVAR_2020,Cyclone Nivar 2020,Cuddalore,cyclones,Sentinel-2,POST,COPERNICUS/S2_SR_HARMONIZED/20201211T050211_20201211T050209_T44PLT,20201211,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_NIVAR_2020/sentinel2/TN_NIVAR_2020_S2_POST.tif,20.91,57fe5d573726f386c3911b8479e1ddd758e0781e69185dfe7aec581aea5023ba,EPSG:32644,10.0,1643,1667,"BoundingBox(left=357910.0, bottom=1290650.0, right=374340.0, top=1307320.0)",6.47,56.21,1.0,S2_TIER_2 = GOOD,PASS
TN_MANDOUS_2022,Cyclone Mandous 2022,Chengalpattu,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221123T003222_20221123T003247_046014_0581C6_581E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_PRE.tif,17.95,44e27a90e2b91d78821f130191e62ffc2bf9a616a82cf073ca5857d17e63ae8b,EPSG:32644,10.0,1635,1665,"BoundingBox(left=404360.0, bottom=1386980.0, right=420710.0, top=1403630.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_MANDOUS_2022,Cyclone Mandous 2022,Chengalpattu,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221217T003220_20221217T003245_046364_058DB3_A74B,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_POST.tif,17.96,2cd39f60d423b26aa063915f603225b064fe9fbee06ee51ebba5e57b54fedbb0,EPSG:32644,10.0,1635,1665,"BoundingBox(left=404360.0, bottom=1386980.0, right=420710.0, top=1403630.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_MANDOUS_2022,Cyclone Mandous 2022,Chengalpattu,cyclones,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221123T003222_20221123T003247_046014_0581C6_581E,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_PRE.tif,20.78,613ee618d4edae97fc3de446341013a7da02e53d59768318c7eee8dbf4fd820c,EPSG:32644,10.0,1635,1665,"BoundingBox(left=404360.0, bottom=1386980.0, right=420710.0, top=1403630.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_MANDOUS_2022,Cyclone Mandous 2022,Chengalpattu,cyclones,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20221217T003220_20221217T003245_046364_058DB3_A74B,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_MANDOUS_2022/sentinel1/TN_MANDOUS_2022_S1_POST.tif,20.78,eeb03560b407a9d238df5b0afcbacff785a7534edc1fd7fce0b251001f086f98,EPSG:32644,10.0,1635,1665,"BoundingBox(left=404360.0, bottom=1386980.0, right=420710.0, top=1403630.0)",N/A,100.0,1.0,S1_TIER_2 = GOOD,PASS
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tirunelveli,floods,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231205T004122_20231205T004147_051512_0637C8_0902,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_PRE.tif,4.95,2e486012090a78b8a313ef455d7366588a73b831b10e4b3ef0a9f80a748a57b6,EPSG:32643,10.0,1664,1673,"BoundingBox(left=788770.0, bottom=957700.0, right=805410.0, top=974430.0)",N/A,26.56,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tirunelveli,floods,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231229T004121_20231229T004146_051862_0643F2_C079,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/raw/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_POST.tif,4.95,c068812a05a6015e0620404b305f883155a5126024eb04411f4b6453dc536ee8,EPSG:32643,10.0,1664,1673,"BoundingBox(left=788770.0, bottom=957700.0, right=805410.0, top=974430.0)",N/A,26.49,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tirunelveli,floods,Sentinel-1,PRE,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231205T004122_20231205T004147_051512_0637C8_0902,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_PRE.tif,21.25,93804730b405c2c26b5111f73fec82d428e89933cd3afe8caa1e7dcd14949fb3,EPSG:32643,10.0,1664,1673,"BoundingBox(left=788770.0, bottom=957700.0, right=805410.0, top=974430.0)",N/A,26.56,1.0,S1_TIER_1 = EXCELLENT,PASS
TN_SOUTHERN_FLOOD_2023,Southern Districts Floods 2023,Tirunelveli,floods,Sentinel-1,POST,COPERNICUS/S1_GRD/S1A_IW_GRDH_1SDV_20231229T004121_20231229T004146_051862_0643F2_C079,1SDV,GEE,https://earthengine.googleapis.com,data/tamil_nadu/processed/TN_SOUTHERN_FLOOD_2023/sentinel1/TN_SOUTHERN_FLOOD_2023_S1_POST.tif,21.25,825945abc32c4045229db5dab3e2c1d1063f9132859d61613a905d46641f92ea,EPSG:32643,10.0,1664,1673,"BoundingBox(left=788770.0, bottom=957700.0, right=805410.0, top=974430.0)",N/A,26.49,1.0,S1_TIER_1 = EXCELLENT,PASS
