properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 355095085, 'osm_type': 'yes'}",chennai_bld_001390,4,4,100.0,-1.7216215133666992,-2.105584144592285,-0.38396257162094116,-0.3955700397491455,0.9651859267242243,-13.355086326599121,-12.516332626342773,0.8387539386749268,1.2320165634155273,1.4089166622193083
"{'osm_id': 355095086, 'osm_type': 'yes'}",chennai_bld_001391,1,1,100.0,16.887819290161133,11.15102767944336,-5.736791610717773,-5.736791610717773,0.0,-7.367700576782227,-10.287117004394531,-2.9194164276123047,-2.9194164276123047,0.0
"{'osm_id': 355095087, 'osm_type': 'yes'}",chennai_bld_001392,2,2,100.0,-1.9296199083328247,-0.589236855506897,1.3403830528259277,1.3403830528259277,0.06325244903564453,-12.114873886108398,-10.427837371826172,1.6870372295379639,1.6870372295379639,0.07644200325012207
"{'osm_id': 355095088, 'osm_type': 'yes'}",chennai_bld_001393,4,4,100.0,0.9044099450111389,1.382544755935669,0.4781348705291748,-0.4466896653175354,1.7384547184521477,-13.425126075744629,-12.01872444152832,1.4064018726348877,1.1840972900390625,1.440366293180679
"{'osm_id': 355095089, 'osm_type': 'yes'}",chennai_bld_001394,2,2,100.0,0.35191917419433594,1.7664227485656738,1.414503574371338,1.414503574371338,2.018044948577881,-10.478610038757324,-10.87199878692627,-0.3933887481689453,-0.3933887481689453,0.5702943801879883
"{'osm_id': 355095090, 'osm_type': 'yes'}",chennai_bld_001395,4,4,100.0,0.5847278833389282,-0.9976651668548584,-1.5823930501937866,-2.103407859802246,1.055319490219872,-12.465638160705566,-12.338128089904785,0.12750983238220215,0.570958137512207,1.5354616922826596
"{'osm_id': 355095091, 'osm_type': 'yes'}",chennai_bld_001396,2,2,100.0,2.412229299545288,-0.3025907874107361,-2.714820146560669,-2.714820146560669,1.0155679583549517,-12.52212142944336,-10.488163948059082,2.033957004547119,2.033957004547119,2.7792344093322754
"{'osm_id': 355095092, 'osm_type': 'yes'}",chennai_bld_001397,2,2,100.0,-3.3318567276000977,-1.7285001277923584,1.6033565998077393,1.6033565998077393,4.253451585769653,-10.815792083740234,-11.325874328613281,-0.5100817680358887,-0.5100817680358887,1.3203997611999512
"{'osm_id': 355095093, 'osm_type': 'yes'}",chennai_bld_001398,2,2,100.0,-5.085799217224121,-2.448563814163208,2.637235164642334,2.637235164642334,3.2195730209350586,-15.094831466674805,-14.040117263793945,1.0547146797180176,1.0547146797180176,0.24439668655395508
"{'osm_id': 355095094, 'osm_type': 'yes'}",chennai_bld_001399,2,2,100.0,6.854290962219238,7.913547992706299,1.0592570304870605,1.0592570304870605,0.8631711006164551,-12.477434158325195,-12.566268920898438,-0.08883428573608398,-0.08883428573608398,0.1616358757019043
"{'osm_id': 355095096, 'osm_type': 'yes'}",chennai_bld_001400,2,2,100.0,1.816981554031372,2.801260232925415,0.984278678894043,0.984278678894043,5.235052108764648,-13.876565933227539,-12.980998039245605,0.8955674171447754,0.8955674171447754,3.887756824493408
"{'osm_id': 355095098, 'osm_type': 'yes'}",chennai_bld_001401,4,4,100.0,-0.2500547766685486,-0.32141104340553284,-0.07135629653930664,-0.29072070121765137,2.3672341525760072,-12.058914184570312,-11.02598762512207,1.0329267978668213,1.1840972900390625,1.4841725101913132
"{'osm_id': 355095099, 'osm_type': 'yes'}",chennai_bld_001402,2,2,100.0,7.230539321899414,7.5042524337768555,0.2737126350402832,0.2737126350402832,3.38960599899292,-7.722904682159424,-12.314579010009766,-4.591674327850342,-4.591674327850342,2.834226131439209
"{'osm_id': 355095100, 'osm_type': 'yes'}",chennai_bld_001403,1,1,100.0,-0.5127519965171814,-0.30472177267074585,0.20803022384643555,0.20803022384643555,0.0,-16.021862030029297,-12.726692199707031,3.2951698303222656,3.2951698303222656,0.0
"{'osm_id': 355095101, 'osm_type': 'yes'}",chennai_bld_001404,4,4,100.0,-1.700594425201416,-2.8590328693389893,-1.1584386825561523,-1.4709093570709229,1.8336327655142284,-9.025165557861328,-11.910813331604004,-2.885648488998413,-2.6463675498962402,2.2407080203763483
"{'osm_id': 355095102, 'osm_type': 'yes'}",chennai_bld_001405,2,2,100.0,-2.543668270111084,-2.01157808303833,0.5320901870727539,0.5320901870727539,0.7945442199707031,-11.009915351867676,-10.23376178741455,0.776153564453125,0.776153564453125,1.2121782302856445
"{'osm_id': 355095103, 'osm_type': 'yes'}",chennai_bld_001406,6,6,100.0,-2.471543629964193,-5.10745112101237,-2.6359074910481772,-2.797689914703369,0.9064538799204499,-9.792394638061523,-11.864432017008463,-2.0720383326212564,-1.3327631950378418,2.9813317592564075
