building_id,event_id,sample_type,qc_status,errors
TN_VARDAH_2016_202995,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121014,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_121046,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_178974,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_206062,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153524,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000005,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000019,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021815,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046549,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071282,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071959,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096232,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123780,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153529,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183190,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000006,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_000033,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_021825,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_046556,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_071280,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_073162,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_096314,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_123802,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_153528,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_183205,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_004986,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_005025,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_026772,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_051512,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076257,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_076551,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_101202,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_128749,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_158504,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_188128,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009952,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009980,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_031717,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_056433,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081205,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081814,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_106170,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_133705,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_163431,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_193113,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009975,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_009983,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_031743,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_056450,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_081218,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_086533,TN_VARDAH_2016,SAR_ONLY,PASS,none
TN_VARDAH_2016_106174,TN_VARDAH_2016,SAR_ONLY,PASS,none
