event_id,file_path,folder_type,sensor,stage,qc_status,valid_pixel_percentage,errors
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2021/sentinel2/TN_CHENNAI_FLOOD_2021_S2_PRE.tif,raw,sentinel2,PRE,PASS,100.0,none
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/raw/TN_CHENNAI_FLOOD_2021/sentinel2/TN_CHENNAI_FLOOD_2021_S2_POST.tif,raw,sentinel2,POST,PASS,100.0,none
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2021/sentinel1/TN_CHENNAI_FLOOD_2021_S1_PRE.tif,processed,sentinel1,PRE,PASS,13.67,none
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2021/sentinel1/TN_CHENNAI_FLOOD_2021_S1_POST.tif,processed,sentinel1,POST,PASS,13.58,none
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2021/sentinel2/TN_CHENNAI_FLOOD_2021_S2_PRE.tif,processed,sentinel2,PRE,PASS,100.0,none
TN_CHENNAI_FLOOD_2021,data/tamil_nadu/processed/TN_CHENNAI_FLOOD_2021/sentinel2/TN_CHENNAI_FLOOD_2021_S2_POST.tif,processed,sentinel2,POST,PASS,100.0,none
TN_BUREVI_2020,data/tamil_nadu/raw/TN_BUREVI_2020/sentinel1/TN_BUREVI_2020_S1_PRE.tif,raw,sentinel1,PRE,PASS,26.28,none
TN_BUREVI_2020,data/tamil_nadu/raw/TN_BUREVI_2020/sentinel1/TN_BUREVI_2020_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_BUREVI_2020,data/tamil_nadu/raw/TN_BUREVI_2020/sentinel2/TN_BUREVI_2020_S2_PRE.tif,raw,sentinel2,PRE,PASS,99.97,none
TN_BUREVI_2020,data/tamil_nadu/raw/TN_BUREVI_2020/sentinel2/TN_BUREVI_2020_S2_POST.tif,raw,sentinel2,POST,PASS,100.0,none
TN_BUREVI_2020,data/tamil_nadu/processed/TN_BUREVI_2020/sentinel1/TN_BUREVI_2020_S1_PRE.tif,processed,sentinel1,PRE,PASS,26.28,none
TN_BUREVI_2020,data/tamil_nadu/processed/TN_BUREVI_2020/sentinel1/TN_BUREVI_2020_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
TN_BUREVI_2020,data/tamil_nadu/processed/TN_BUREVI_2020/sentinel2/TN_BUREVI_2020_S2_PRE.tif,processed,sentinel2,PRE,PASS,99.97,none
TN_BUREVI_2020,data/tamil_nadu/processed/TN_BUREVI_2020/sentinel2/TN_BUREVI_2020_S2_POST.tif,processed,sentinel2,POST,PASS,100.0,none
TN_NADA_2016,data/tamil_nadu/raw/TN_NADA_2016/sentinel1/TN_NADA_2016_S1_PRE.tif,raw,sentinel1,PRE,PASS,100.0,none
TN_NADA_2016,data/tamil_nadu/raw/TN_NADA_2016/sentinel1/TN_NADA_2016_S1_POST.tif,raw,sentinel1,POST,PASS,100.0,none
TN_NADA_2016,data/tamil_nadu/processed/TN_NADA_2016/sentinel1/TN_NADA_2016_S1_PRE.tif,processed,sentinel1,PRE,PASS,100.0,none
TN_NADA_2016,data/tamil_nadu/processed/TN_NADA_2016/sentinel1/TN_NADA_2016_S1_POST.tif,processed,sentinel1,POST,PASS,100.0,none
