properties,building_id,total_pixels,valid_pixels,valid_pixel_pct,mean_pre_vv,mean_post_vv,mean_change_vv,median_change_vv,std_change_vv,mean_pre_vh,mean_post_vh,mean_change_vh,median_change_vh,std_change_vh
"{'osm_id': 838475057, 'osm_type': 'yes'}",cuddalore_bld_000174,6,6,100.0,-1.0494728088378906,-0.74002472559611,0.30944812297821045,0.5995351076126099,2.5497493185809095,-15.000775655110678,-15.137582143147787,-0.1368072827657064,-2.0641865730285645,3.926016041097966
"{'osm_id': 838475060, 'osm_type': 'yes'}",cuddalore_bld_000175,8,8,100.0,-2.905437469482422,0.2557834982872009,3.1612210273742676,4.026035308837891,3.4270379874616266,-12.801487922668457,-10.360618591308594,2.4408693313598633,2.627380609512329,1.8933511418238715
"{'osm_id': 838475061, 'osm_type': 'yes'}",cuddalore_bld_000176,8,8,100.0,-3.009671688079834,-3.4307761192321777,-0.421104371547699,0.022757530212402344,2.594867874179213,-13.312825202941895,-12.425677299499512,0.8871479034423828,0.7139377593994141,2.1372664571603965
"{'osm_id': 838475062, 'osm_type': 'yes'}",cuddalore_bld_000177,6,6,100.0,-1.6736453374226887,0.38090284665425617,2.0545481046040854,2.0941107273101807,1.702069295358826,-13.70920435587565,-11.71246337890625,1.9967419306437175,2.242976665496826,3.226037103004113
"{'osm_id': 838475063, 'osm_type': 'yes'}",cuddalore_bld_000178,3,3,100.0,-1.6996866861979167,-0.24573461214701334,1.453952153523763,0.4887523651123047,1.759040358187526,-14.167954762776693,-11.54315185546875,2.6248035430908203,2.5378952026367188,1.5133510569902588
"{'osm_id': 838475064, 'osm_type': 'yes'}",cuddalore_bld_000179,4,4,100.0,-1.9477348327636719,1.551891565322876,3.499626398086548,4.035687446594238,1.2313505160879084,-14.481644630432129,-11.570959091186523,2.9106855392456055,2.9345951080322266,2.6997950516341542
"{'osm_id': 838475065, 'osm_type': 'yes'}",cuddalore_bld_000180,4,4,100.0,-5.439786911010742,-1.0039098262786865,4.435876846313477,5.056750297546387,4.964895882674264,-12.330145835876465,-15.856441497802734,-3.5262959003448486,-3.1842284202575684,1.1000594222172335
"{'osm_id': 838475066, 'osm_type': 'yes'}",cuddalore_bld_000181,5,5,100.0,-1.1636375427246093,-1.4468802452087401,-0.28324275016784667,-0.5464637279510498,1.0759135557781774,-10.1549560546875,-12.638359069824219,-2.483403205871582,-4.479876518249512,3.4696494624966046
"{'osm_id': 838475067, 'osm_type': 'yes'}",cuddalore_bld_000182,6,6,100.0,-4.746312141418457,-3.9805771509806314,0.7657348314921061,1.5640052556991577,1.4470223909321913,-12.984280904134115,-13.487836201985678,-0.5035543441772461,-0.11469030380249023,1.6897931728774012
"{'osm_id': 838475068, 'osm_type': 'yes'}",cuddalore_bld_000183,6,6,100.0,-1.692380428314209,3.409817377726237,5.1021982828776045,5.986464500427246,3.243134953685914,-13.851030985514322,-12.172445933024088,1.6785860061645508,1.9856081008911133,1.2318975473176494
"{'osm_id': 838475069, 'osm_type': 'yes'}",cuddalore_bld_000184,5,5,100.0,-1.277292823791504,-4.393743896484375,-3.116450881958008,-3.6166090965270996,1.0230344955505437,-11.068888854980468,-12.54845733642578,-1.4795679092407226,-0.6450433731079102,1.9604430612710522
"{'osm_id': 838475072, 'osm_type': 'yes'}",cuddalore_bld_000185,7,7,100.0,3.289973667689732,4.454124995640346,1.16415160042899,0.36363792419433594,2.656879530166532,-13.446864536830358,-11.516566685267858,1.9302974428449358,3.5943078994750977,4.741384371487991
